CIK	Company
0001553196	AMERICAN_FUNDS_GLOBAL_HIGH-INCOME_OPPORTUNITIES_FUND	
0001785347	American_Funds_Global_Insight_Fund	
0000770161	AMERICAN_FUNDS_INCOME_SERIES	
0001553197	AMERICAN_FUNDS_INFLATION_LINKED_BOND_FUND	
0001785336	American_Funds_International_Vantage_Fund	
0001496998	AMERICAN_FUNDS_MORTGAGE_FUND	
0001761673	American_Funds_Multi-Sector_Income_Fund	
0001537151	AMERICAN_FUNDS_PORTFOLIO_SERIES	
0001640102	American_Funds_Retirement_Income_Portfolio_Series	
0000845376	AMERICAN_FUNDS_SHORT-TERM_TAX-EXEMPT_BOND_FUND	
0001655146	AMERICAN_FUNDS_STRATEGIC_BOND_FUND	
0001380175	American_Funds_Target_Date_Retirement_Series	
0000792953	AMERICAN_FUNDS_TAX_EXEMPT_SERIES_I	
0000794389	AMERICAN_FUNDS_TAX_EXEMPT_SERIES_II_/_CA	
0001496999	AMERICAN_FUNDS_TAX-EXEMPT_FUND_OF_NEW_YORK	
0001454975	American_Funds_U.S._Government_Money_Market_Fund	
0000005138	AMERICAN_GROWTH_FUND_INC	
0000823620	AMERICAN_HIGH_INCOME_TRUST	
0000925950	AMERICAN_HIGH-INCOME_MUNICIPAL_BOND_FUND	
0001324443	American_Independence_Funds_Trust	
0000005506	AMERICAN_MUTUAL_FUND	
0000764859	AMERICAN_PENSION_INVESTORS_TRUST	
0000879947	AMG_Funds_II	
0000720309	AMG_FUNDS_III	
0001074440	AMIDEX_FUNDS_INC	
0001612930	Angel_Oak_Funds_Trust	
0000944959	ANNUITY_INVESTORS_VARIABLE_ACCOUNT_A	
0000707800	AQUILA_FUNDS_TRUST	
0000784056	AQUILA_MUNICIPAL_TRUST	
0000888955	AQUILA_NARRAGANSETT_TAX-FREE_INCOME_FUND	
0000915402	AQUILA_THREE_PEAKS_OPPORTUNITY_GROWTH_FUND	
0001105076	ARBITRAGE_FUNDS	
0001547625	Arden_Investment_Series_Trust	
0001959372	Aristotle_Funds_Series_Trust	
0001527428	Arrow_Investments_Trust	
0001498498	Ashmore_Funds	
0001135191	ASHPORT_MUTUAL_FUNDS_TRUST	
0001377961	Astral_Investments_Trust	
0001043275	ATHENE_VARIABLE_ANNUITY_ACCOUNT_A	
0001061201	ATHENE_VARIABLE_LIFE_ACCOUNT_A	
0000830144	ATLAS_FUNDS	
0001866278	Atlas_U.S._Tactical_Income_Fund	
0001831983	ATLAS_U.S._TACTICAL_INCOME_FUND,_INC.	
0001312580	AXA_ENTERPRISE_FUNDS_TRUST	
0001160167	AXA_Enterprise_Multimanager_Funds_Trust	
0001791032	Axonic_Funds	
0000052423	AXP_STOCK_SERIES_INC	
0001026968	B.B._Funds	
0001120543	BAILLIE_GIFFORD_FUNDS	
0001577579	Barings_Funds_Trust	
0000810902	BARON_INVESTMENT_FUNDS_TRUST_(f/k/a_BARON_ASSET_FUND)	
0000865898	BBH_FUND_INC	
0001501521	Bennett_Group_of_Funds	
0001653463	Bernstein_Fund_Inc	
0000832808	BERNSTEIN_SANFORD_C_FUND_INC	
0000925737	BISHOP_STREET_FUNDS	
0000922457	BLACKROCK_ADVANTAGE_GLOBAL_FUND,_INC.	
0000230382	BlackRock_Advantage_SMID_Cap_Fund,_Inc.	
0001221845	BLACKROCK_ALLOCATION_TARGET_SHARES	
0001114698	BLACKROCK_BASIC_VALUE_FUND_II,_INC	
0000276463	BLACKROCK_BOND_FUND,_INC.	
0000765199	BLACKROCK_CALIFORNIA_MUNICIPAL_SERIES_TRUST	
0000887509	BlackRock_Capital_Appreciation_Fund,_Inc.	
0001272344	BlackRock_Commodity_Strategies_Fund	
0001582739	BlackRock_CoRI_Funds	
0000849402	BLACKROCK_EMERGING_MARKETS_FUND,_INC.	
0000814507	BLACKROCK_EQUITY_DIVIDEND_FUND	
0000790525	BLACKROCK_EUROFUND	
0000353281	BLACKROCK_FINANCIAL_INSTITUTIONS_SERIES_TRUST	
0000701960	BLACKROCK_FOCUS_VALUE_FUND,_INC.	
0000844779	BLACKROCK_FUNDS	
0000013075	BOND_FUND_OF_AMERICA	
0000926678	BRANDES_INVESTMENT_TRUST	
0001126087	Brighthouse_Funds_Trust_I	
0000710826	Brighthouse_Funds_Trust_II	
0000811968	CAPITAL_INCOME_BUILDER	
0000812303	CAPITAL_WORLD_BOND_FUND	
0000894005	CAPITAL_WORLD_GROWTH_&amp;_INCOME_FUND	
0000018109	CASH_MANAGEMENT_TRUST_OF_AMERICA	
0001026977	CITY_NATIONAL_ROCHDALE_FUNDS	
0000310771	CML_ACCUMULATION_ANNUITY_ACCOUNT_E	
0000773757	COLUMBIA_FUNDS_SERIES_TRUST_I	
0000021832	COLUMBIA_FUNDS_TRUST_I	
0000789316	DELAWARE_LIFE_VARIABLE_ACCOUNT_E	
0000355437	DFA_INVESTMENT_DIMENSIONS_GROUP_INC	
0001424958	Direxion_Shares_ETF_Trust	
0001073005	E_TRADE_FUNDS	
0001821505	E-Valuator_Funds_Trust	
0001713879	E.M.O._Sterling_Return_LT_Fund_LP	
0001592900	EA_Series_Trust	
0001054556	EII_REALTY_SECURITIES_TRUST	
0001822818	Equitable_America_Variable_Account_No.70A	
0000719603	EUROPACIFIC_GROWTH_FUND	
0001322453	First_Investors_Life_Separate_Account_E	
0001552740	FIRST_TRUST_EXCHANGE-TRADED_FUND_VI	
0000751482	FIRST_VARIABLE_ANNUITY_FUND_E	
0000887588	FORTITUDE_LIFE_INSURANCE_&amp;_ANNUITY_Co_VARIABLE_ACCOUNT_E	
0000872625	FRANKLIN_STRATEGIC_SERIES	
0000803951	GENERAL_CALIFORNIA_MUNICIPAL_MONEY_MARKET_FUND	
0000703153	GENERAL_MUNICIPAL_MONEY_MARKET_FUNDS,_INC.	
0000803950	GENERAL_NEW_YORK_MUNICIPAL_MONEY_MARKET_FUND	
0001432353	Global_X_Funds	
0000044201	GROWTH_FUND_OF_AMERICA	
0001034027	GUARDIAN_SEPARATE_ACCOUNT_E	
0000217087	Guggenheim_Variable_Funds_Trust	
0000049905	HARTFORD_MUTUAL_FUNDS_II_INC	
0000798290	HSBC_FUNDS	
0000050013	INCOME_FUND_OF_AMERICA	
0000826813	INTERMEDIATE_BOND_FUND_OF_AMERICA	
0001439297	INTERNATIONAL_GROWTH_&amp;_INCOME_FUND	
0000051931	INVESTMENT_CO_OF_AMERICA	
0000883622	IVY_FUNDS	
0000052858	IVY_FUNDS	
0000917573	JEFFERSON_NATIONAL_LIFE_ANNUITY_ACCOUNT_E	
0000926424	JOHN_HANCOCK_LIFE_INSURANCE_Co_(U.S.A.)_SEPARATE_ACCOUNT_R	
0001217286	JPMorgan_Trust_I	
0000763852	JPMORGAN_TRUST_II	
0001547576	Krane_Shares_Trust	
0000804223	LINCOLN_NATIONAL_VARIABLE_ANNUITY_ACCOUNT_E	
0000751173	MANNING_&amp;_NAPIER_FUND,_INC.	
0001003289	METLIFE_OF_CT_FUND_ABD_II_FOR_VARIABLE_ANNUITIES	
0000744043	METROPOLITAN_LIFE_SEPARATE_ACCOUNT_E	
0001045701	Monteagle_Funds	
0001313581	Nationwide_VL_Separate_Account-G	
0001317474	NEUBERGER_BERMAN_ALTERNATIVE_FUNDS	
0000044402	NEUBERGER_BERMAN_EQUITY_FUNDS	
0000723620	NEUBERGER_BERMAN_INCOME_FUNDS	
0000719608	NEW_ECONOMY_FUND	
0000071516	NEW_PERSPECTIVE_FUND	
0001073330	NEW_WORLD_FUND_INC	
0001358587	Oppenheimer_Institutional_Government_Money_Market_Fund	
0001452357	Oppenheimer_Institutional_Treasury_Money_Market_Fund	
0001433742	OPPENHEIMER_MASTER_EVENT-LINKED_BOND_FUND,_LLC	
0001492445	OPPENHEIMER_MASTER_INFLATION_PROTECTED_SECURITIES_FUND,_LLC	
0001618627	RBB_Fund_Trust	
0000009738	RELIASTAR_LIFE_INS_CO_OF_NY_VAR_ANNUITY_FUNDS_D_E_F_G_H_&amp;_I	
0000352663	RIVERSOURCE_BOND_SERIES_INC	
0001476734	Russell_ETF_Trust	
0000351601	RUSSELL_INVESTMENT_CO	
0001469030	Russell_Investments_Exchange_Traded_Funds_Trust	
0000904333	SCHWAB_CAPITAL_TRUST	
0000766589	SEI_INDEX_FUNDS	
0000804239	SEI_INSTITUTIONAL_MANAGED_TRUST	
0001537470	Separate_Account_No._70	
0001034623	SEPARATE_ACCOUNT_VA_E	
0000796524	SEPARATE_ACCOUNT_VL_E	
0000200026	SEPARATE_ACCOUNTS_VA-D_E_F_OF_COMMONWEALTH_ANNUITY_&amp;_LIFE_INSURANCE_CO	
0001368040	Short-Term_Bond_Fund_of_America	
0001225290	SMA_RELATIONSHIP_TRUST	
0000858744	SMALLCAP_WORLD_FUND_INC	
0001873280	Strategic_Trust	
0001944285	Tema_ETF_Trust	
0001552947	Two_Roads_Shared_Trust	
0000899090	VALIANT_FUND	
0000104865	WASHINGTON_MUTUAL_INVESTORS_FUND	
0001396092	World_Funds_Trust	
